title,price_raw,price,is_negotiable,date_raw,date,category_path,level1,level2,level3,level4,region,city,district,link
be quiet! Dark Power 13 1000W 80 Plus Titanium,749 zł,749,False,04 maja 2026,2026-05-04,Elektronika > Komputery > Podzespoły i części > Zasilacze,Elektronika,Komputery,Podzespoły i części,Zasilacze,Śląskie,Tychy,,https://www.olx.pl/d/oferta/be-quiet-dark-power-13-1000w-80-plus-titanium-CID99-ID1atLGX.html?search_reason=search%7Cpromoted
Pierścionek z czarnym kamieniem,80 zł,80,False,Dzisiaj o 15:28,2026-05-05,Moda > Biżuteria > Pierścionki,Moda,Biżuteria,Pierścionki,,Mazowieckie,Ciechanów,,https://www.olx.pl/d/oferta/pierscionek-z-czarnym-kamieniem-CID87-ID18a5g0.html?search_reason=search%7Corganic
Zbiornik Yamaha Drag Star NOWY,1 199 zł,1199,False,Odświeżono dzisiaj o 15:28,2026-05-05,Motoryzacja > Części motocyklowe,Motoryzacja,Części motocyklowe,,,Wielkopolskie,Pleszew,,https://www.olx.pl/d/oferta/zbiornik-yamaha-drag-star-nowy-CID5-ID18dOjW.html?search_reason=search%7Corganic
BOSCH brzeszczot PAIZ32 APiT widiowy uniwersalny,49 zł,49,False,Dzisiaj o 15:28,2026-05-05,Dom i Ogród > Narzędzia > Osprzęt do narzędzi,Dom i Ogród,Narzędzia,Osprzęt do narzędzi,,Śląskie,Kłomnice,,https://www.olx.pl/d/oferta/bosch-brzeszczot-paiz32-apit-widiowy-uniwersalny-CID628-ID1aw8JD.html?search_reason=search%7Corganic
Peugeot parner 2012,3 700 złdo negocjacji,3700,True,Dzisiaj o 15:28,2026-05-05,Motoryzacja > Dostawcze > Furgon (blaszak),Motoryzacja,Dostawcze,Furgon (blaszak),,Mazowieckie,Siedlce,,https://www.olx.pl/d/oferta/peugeot-parner-2012-CID5-ID1auSEf.html?search_reason=search%7Corganic
Fiszki starter japoński wydawnictwa fiszki pl do nauki języków,20 złdo negocjacji,20,True,Dzisiaj o 15:28,2026-05-05,Muzyka i Edukacja > Materiały językowe,Muzyka i Edukacja,Materiały językowe,,,Śląskie,Rybnik,,https://www.olx.pl/d/oferta/fiszki-starter-japonski-wydawnictwa-fiszki-pl-do-nauki-jezykow-CID751-ID17mh2z.html?search_reason=search%7Corganic
Jeans zara nowe 116,116 zł,116,False,Dzisiaj o 15:28,2026-05-05,Dla Dzieci > Ubranka dla dziewczynek > Spodnie i spodenki > Jeansy,Dla Dzieci,Ubranka dla dziewczynek,Spodnie i spodenki,Jeansy,Mazowieckie,Warszawa,Wola,https://www.olx.pl/d/oferta/jeans-zara-nowe-116-CID88-ID14lz5b.html?search_reason=search%7Corganic
Przewód Kabel Kable HDMI - HDMI Accura Premium 1.8 / 1 m 2 szt NOWE,15 zł,15,False,Dzisiaj o 15:28,2026-05-05,Elektronika > Telefony > Akcesoria > Kable,Elektronika,Telefony,Akcesoria,Kable,Dolnośląskie,Wrocław,Krzyki,https://www.olx.pl/d/oferta/przewod-kabel-kable-hdmi-hdmi-accura-premium-1-8-1-m-2-szt-nowe-CID99-ID1aw8Jt.html?search_reason=search%7Corganic
Doczekać świtu - Maria Horodyska,9 zł,9,False,Dzisiaj o 15:28,2026-05-05,Muzyka i Edukacja > Książki > Literatura,Muzyka i Edukacja,Książki,Literatura,,Mazowieckie,Malcanów,,https://www.olx.pl/d/oferta/doczekac-switu-maria-horodyska-CID751-ID12TR6q.html?search_reason=search%7Corganic
Buty sportowe Nike_Air_Force_1_Low_07_White_ Rozmiar.38,99 zł,99,False,Dzisiaj o 15:28,2026-05-05,Moda > Buty męskie > Obuwie sportowe > Pozostałe,Moda,Buty męskie,Obuwie sportowe,Pozostałe,Kujawsko-pomorskie,Bydgoszcz,,https://www.olx.pl/d/oferta/buty-sportowe-nike-air-force-1-low-07-white-rozmiar-38-CID87-ID1aw8lf.html?search_reason=search%7Corganic
